HTTrack3.49-2 launched on Fri, 02 Dec 2022 01:32:05 at https://vancouver-art.com
(winhttrack https://vancouver-art.com -O "Hotton marketplace/Daneil" -%v )

Information, Warnings and Errors reported for this mirror:
note:	the hts-log.txt file, and hts-cache folder, may contain sensitive information,
	such as username/password authentication for websites mirrored in this project
	do not share these files/folders if you want these information to remain private

01:37:15	Error: 	"Not Found" (404) at link https://vancouver-art.com/site.html (from https://vancouver-art.com/)
01:41:50	Warning: 	Retry after error -4 (Incorrect length (31270949 Bytes, 31290644 expected)) at link https://vancouver-art.com/author.aspx?a=2476 (from https://vancouver-art.com/)
01:46:09	Warning: 	Retry after error -4 (Interrupted transfer) at link https://vancouver-art.com/author.aspx?a=2245 (from https://vancouver-art.com/)
01:56:51	Error: 	"Not Found" (404) at link https://vancouver-art.com/POST (from https://vancouver-art.com/WebResource.axd?d=jO0VxTFb98wZ8Q1SfIqkjnUINT-Ua0Kd076m5e-24IZD_bG1MkLMr_-T9cwJd2-Ovvu88hBAu8v-jI_PZ6wqWV954inUytMShfRB--V33R01&t=637814372020000000)
02:04:18	Warning: 	Retry after error -4 (Interrupted transfer) at link https://vancouver-art.com/author.aspx?a=2476 (from https://vancouver-art.com/)
02:04:47	Warning: 	Retry after error -4 (Interrupted transfer) at link https://vancouver-art.com/Collection.aspx?c=2134 (from https://vancouver-art.com/item.aspx?t=1636)
02:05:36	Warning: 	Retry after error -4 (Incorrect length (11230250 Bytes, 11279914 expected)) at link https://vancouver-art.com/Author.aspx?a=2245 (from https://vancouver-art.com/item.aspx?t=1636)
02:12:29	Warning: 	Retry after error -4 (Interrupted transfer) at link https://vancouver-art.com/author.aspx?a=2245 (from https://vancouver-art.com/)
02:21:01	Warning: 	Retry after error -4 (Incorrect length (20101139 Bytes, 20135704 expected)) at link https://vancouver-art.com/collections.aspx?a=2476 (from https://vancouver-art.com/Author.aspx?a=2476)
02:21:10	Warning: 	Retry after error -4 (Interrupted transfer) at link https://vancouver-art.com/collection.aspx?c=1906 (from https://vancouver-art.com/Author.aspx?a=2476)
02:21:10	Warning: 	Retry after error -4 (Interrupted transfer) at link https://vancouver-art.com/collection.aspx?c=1903 (from https://vancouver-art.com/Author.aspx?a=2476)
02:25:56	Error: 	"Receive Time Out" (-2) after 2 retries at link https://vancouver-art.com/author.aspx?a=2476 (from https://vancouver-art.com/)
02:25:58	Warning: 	Retry after error -2 (Receive Time Out) at link https://vancouver-art.com/collection.aspx?c=1744 (from https://vancouver-art.com/Author.aspx?a=2113)
02:26:00	Warning: 	Retry after error -2 (Receive Time Out) at link https://vancouver-art.com/Collection.aspx?c=2134 (from https://vancouver-art.com/item.aspx?t=1636)
02:26:02	Warning: 	Retry after error -2 (Receive Time Out) at link https://vancouver-art.com/Author.aspx?a=2245 (from https://vancouver-art.com/item.aspx?t=1636)
02:26:22	Warning: 	Retry after error -4 (Incorrect length (14496294 Bytes, 14548866 expected)) at link https://vancouver-art.com/Collection.aspx?c=1744 (from https://vancouver-art.com/item.aspx?t=1393)
02:26:24	Warning: 	Retry after error -4 (Incorrect length (14971358 Bytes, 15022381 expected)) at link https://vancouver-art.com/Collection.aspx?c=1753 (from https://vancouver-art.com/item.aspx?t=1360)
02:26:24	Warning: 	Retry after error -4 (Incorrect length (12096171 Bytes, 12132086 expected)) at link https://vancouver-art.com/Collection.aspx?c=2014 (from https://vancouver-art.com/item.aspx?t=1384)
02:26:24	Error: 	"Incorrect length (9409000 Bytes, 9459491 expected)" (-4) after 2 retries at link https://vancouver-art.com/author.aspx?a=2245 (from https://vancouver-art.com/)
02:28:21	Warning: 	Retry after error -4 (Incorrect length (36578933 Bytes, 36597519 expected)) at link https://vancouver-art.com/Author.aspx?a=1117 (from https://vancouver-art.com/item.aspx?t=1228)
02:29:01	Warning: 	Retry after error -4 (Incorrect length (23284740 Bytes, 23320265 expected)) at link https://vancouver-art.com/collections.aspx?a=2476 (from https://vancouver-art.com/Author.aspx?a=2476)
02:29:12	Warning: 	Retry after error -4 (Interrupted transfer) at link https://vancouver-art.com/collection.aspx?c=1906 (from https://vancouver-art.com/Author.aspx?a=2476)
02:29:23	Warning: 	Retry after error -4 (Incorrect length (15598054 Bytes, 15632829 expected)) at link https://vancouver-art.com/collection.aspx?c=1903 (from https://vancouver-art.com/Author.aspx?a=2476)
02:31:54	Warning: 	Retry after error -4 (Incorrect length (24493919 Bytes, 24529500 expected)) at link https://vancouver-art.com/collections.aspx?a=1933 (from https://vancouver-art.com/author.aspx?a=1933)
02:31:54	Warning: 	Retry after error -4 (Interrupted transfer) at link https://vancouver-art.com/collection.aspx?c=1936 (from https://vancouver-art.com/author.aspx?a=1933)
02:31:54	Warning: 	Retry after error -4 (Interrupted transfer) at link https://vancouver-art.com/collection.aspx?c=1933 (from https://vancouver-art.com/author.aspx?a=1933)
02:31:54	Warning: 	Retry after error -4 (Interrupted transfer) at link https://vancouver-art.com/collection.aspx?c=1930 (from https://vancouver-art.com/author.aspx?a=1933)
02:31:54	Error: 	"Service Unavailable" (503) at link https://vancouver-art.com/collection.aspx?c=1840 (from https://vancouver-art.com/author.aspx?a=1933)
